90	39.2	43.8	10	5078.8	0.76895	1	1	36	40	75
91	27.3	64.9	6	2960.2	0.94641	1	1	36	40	75
92	32	41.3	10	2496.1	0.95235	1	1	36	40	75
93	31.5	38.4	14	8623.1	0.81397	1	1	36	40	75
94	33.7	56.1	9	3277.1	0.936	1	1	36	40	75
95	32.7	38.7	11	3801.9	0.82738	1	1	36	40	75
96	13.3	50.3	9	2142.1	0.91769	1	1	36	40	75
97	25.6	39.3	14	3897.3	0.95673	1	1	36	40	75
98	35.8	55.3	9	2117.8	0.93578	1	1	36	40	75
99	30.2	38	9	3889	0.76007	1	1	36	40	75
100	26.2	42.7	13	4200.8	0.76819	1	1	36	40	75
101	36.8	43.7	10	2904.1	0.84052	1	1	36	40	75
102	29.1	43.9	15	3346	0.92148	1	1	36	40	75
103	25.7	71.2	17	3017.3	0.83784	1	1	36	40	75
104	33.7	47.1	16	2475.7	0.8827	1	1	36	40	75
105	37.6	42.2	1	5740.7	0.92705	2	1	36	40	75
106	38.3	45	9	8027.5	0.9565	2	1	36	40	75
107	32.6	38.8	7	3186	0.91571	2	1	36	40	75
108	29.5	36	6	4475.6	0.85626	2	1	36	40	75
109	31.8	36.5	8	4931.7	0.84726	2	1	36	40	75
110	35.3	40	12	14157	0.94204	2	1	36	40	75
111	30.2	37.9	11	4390.8	0.95556	2	1	36	40	75
112	38.8	46.6	10	7364.6	0.85738	2	1	36	40	75
113	39	44.1	1	3965.4	0.83068	2	1	36	40	75
114	38.8	41.8	10	3558.9	0.84729	2	1	36	40	75
115	36.6	42.3	13	12274	0.92747	2	1	36	40	75
116	33.5	39.3	17	9312.8	0.85436	2	1	36	40	75
117	32.1	41.1	11	2380.4	0.96101	2	1	36	40	75
118	27.3	64.9	6	2886.2	0.95902	2	1	36	40	75
119	13.3	50.3	8	1906.5	0.92181	2	1	36	40	75
120	33.7	56.1	9	3014.3	0.93596	2	1	36	40	75
121	36.8	43.8	8	2670.3	0.89929	2	1	36	40	75
122	26.2	42.7	13	2967.8	0.92562	2	1	36	40	75
123	35.8	55.3	8	2201.5	0.91498	2	1	36	40	75
124	30.8	67.8	16	824.71	0.77189	2	1	36	40	75
125	25.6	39.2	14	3911.4	0.93822	2	1	36	40	75
126	33.7	46.9	15	1509	0.9302	2	1	36	40	75
127	35.8	38.7	11	3685.2	0.89125	2	1	36	40	75
128	25.7	71.4	17	2894.7	0.80268	2	1	36	40	75
129	29.3	44	14	3249.3	0.89789	2	1	36	40	75
130	27.9	50.9	16	1524.1	0.82283	2	1	36	40	75
131	37.6	42.2	1	5740.7	0.92705	3	1	36	40	75
132	38.3	45	9	8027.5	0.9565	3	1	36	40	75
133	32.6	38.8	7	3186	0.91571	3	1	36	40	75
134	29.5	36	6	4475.6	0.85626	3	1	36	40	75
135	31.8	36.5	8	4931.7	0.84726	3	1	36	40	75
136	35.3	40	12	14157	0.94204	3	1	36	40	75
137	30.2	37.9	11	4390.8	0.95556	3	1	36	40	75
138	38.8	46.6	10	7364.6	0.85738	3	1	36	40	75
139	39	44.1	1	3965.4	0.83068	3	1	36	40	75
140	38.8	41.8	10	3558.9	0.84729	3	1	36	40	75
141	36.6	42.3	13	12274	0.92747	3	1	36	40	75
142	33.5	39.3	17	9312.8	0.85436	3	1	36	40	75
143	32.1	41.1	11	2380.4	0.96101	3	1	36	40	75
144	27.3	64.9	6	2886.2	0.95902	3	1	36	40	75
145	13.3	50.3	8	1906.5	0.92181	3	1	36	40	75
146	33.7	56.1	9	3014.3	0.93596	3	1	36	40	75
147	36.8	43.8	8	2670.3	0.89929	3	1	36	40	75
148	26.2	42.7	13	2967.8	0.92562	3	1	36	40	75
149	35.8	55.3	8	2201.5	0.91498	3	1	36	40	75
150	30.8	67.8	16	824.71	0.77189	3	1	36	40	75
151	25.6	39.2	14	3911.4	0.93822	3	1	36	40	75
152	33.7	46.9	15	1509	0.9302	3	1	36	40	75
153	35.8	38.7	11	3685.2	0.89125	3	1	36	40	75
154	25.7	71.4	17	2894.7	0.80268	3	1	36	40	75
155	29.3	44	14	3249.3	0.89789	3	1	36	40	75
156	27.9	50.9	16	1524.1	0.82283	3	1	36	40	75
157	37.6	42.2	1	5740.7	0.92705	4	1	36	40	75
158	38.3	45	9	8027.5	0.9565	4	1	36	40	75
159	32.6	38.8	7	3186	0.91571	4	1	36	40	75
160	29.5	36	6	4475.6	0.85626	4	1	36	40	75
161	31.8	36.5	8	4931.7	0.84726	4	1	36	40	75
162	35.3	40	12	14157	0.94204	4	1	36	40	75
163	30.2	37.9	11	4390.8	0.95556	4	1	36	40	75
164	38.8	46.6	10	7364.6	0.85738	4	1	36	40	75
165	39	44.1	1	3965.4	0.83068	4	1	36	40	75
166	38.8	41.8	10	3558.9	0.84729	4	1	36	40	75
167	36.6	42.3	13	12274	0.92747	4	1	36	40	75
168	33.5	39.3	17	9312.8	0.85436	4	1	36	40	75
169	32.1	41.1	11	2380.4	0.96101	4	1	36	40	75
170	27.3	64.9	6	2886.2	0.95902	4	1	36	40	75
171	13.3	50.3	8	1906.5	0.92181	4	1	36	40	75
172	33.7	56.1	9	3014.3	0.93596	4	1	36	40	75
173	36.8	43.8	8	2670.3	0.89929	4	1	36	40	75
174	26.2	42.7	13	2967.8	0.92562	4	1	36	40	75
175	35.8	55.3	8	2201.5	0.91498	4	1	36	40	75
176	30.8	67.8	16	824.71	0.77189	4	1	36	40	75
177	25.6	39.2	14	3911.4	0.93822	4	1	36	40	75
178	33.7	46.9	15	1509	0.9302	4	1	36	40	75
179	35.8	38.7	11	3685.2	0.89125	4	1	36	40	75
180	25.7	71.4	17	2894.7	0.80268	4	1	36	40	75
181	29.3	44	14	3249.3	0.89789	4	1	36	40	75
182	27.9	50.9	16	1524.1	0.82283	4	1	36	40	75
183	32.9	103.5	9	1111.7	0.93901	1	1	71	40	110
184	35.6	104.7	8	11078	0.93585	1	1	71	40	110
185	30.3	104.9	11	1757.1	0.96895	1	1	71	40	110
186	31.6	75.4	10	2333.9	0.92116	1	1	71	40	110
187	35.3	103.9	1	681.9	0.86437	1	1	71	40	110
188	29.6	86.2	9	3316.5	0.92468	1	1	71	40	110
189	23	95.5	9	1196.5	0.87877	1	1	71	40	110
190	26.1	73.6	17	3134.1	0.91647	1	1	71	40	110
191	33.8	83.6	15	1880.9	0.93947	1	1	71	40	110
192	34.6	87	11	468.28	0.86959	1	1	71	40	110
193	12.3	86.6	12	957.09	0.89164	1	1	71	40	110
194	4.3	106.7	16	1932.6	0.88348	1	1	71	40	110
195	29.6	86.2	8	2248.8	0.95325	2	1	71	40	110
196	35.5	104.4	5	5906	0.88097	2	1	71	40	110
197	32.9	103.5	9	1718	0.93635	2	1	71	40	110
198	30.3	104.9	10	1612.5	0.97268	2	1	71	40	110
199	31.6	75.4	10	2223.6	0.93005	2	1	71	40	110
200	35.7	105.1	9	7239.2	0.95012	2	1	71	40	110
201	33.8	83.6	15	1701.3	0.95282	2	1	71	40	110
202	23	95.5	9	1170.1	0.87769	2	1	71	40	110
203	26.1	73.7	17	2874.6	0.92023	2	1	71	40	110
204	25.9	71.4	2	374.46	0.85613	2	1	71	40	110
205	12.3	86.6	12	828.21	0.91531	2	1	71	40	110
206	4.3	106.7	16	1933	0.87787	2	1	71	40	110
207	34.6	87.8	17	1170.2	0.76223	2	1	71	40	110
208	29.6	86.2	8	2248.8	0.95325	3	1	71	40	110
209	35.5	104.4	5	5906	0.88097	3	1	71	40	110
210	32.9	103.5	9	1718	0.93635	3	1	71	40	110
211	30.3	104.9	10	1612.5	0.97268	3	1	71	40	110
212	31.6	75.4	10	2223.6	0.93005	3	1	71	40	110
213	35.7	105.1	9	7239.2	0.95012	3	1	71	40	110
214	33.8	83.6	15	1701.3	0.95282	3	1	71	40	110
215	23	95.5	9	1170.1	0.87769	3	1	71	40	110
216	26.1	73.7	17	2874.6	0.92023	3	1	71	40	110
217	25.9	71.4	2	374.46	0.85613	3	1	71	40	110
218	12.3	86.6	12	828.21	0.91531	3	1	71	40	110
219	4.3	106.7	16	1933	0.87787	3	1	71	40	110
220	34.6	87.8	17	1170.2	0.76223	3	1	71	40	110
221	29.6	86.2	8	2248.8	0.95325	4	1	71	40	110
222	35.5	104.4	5	5906	0.88097	4	1	71	40	110
223	32.9	103.5	9	1718	0.93635	4	1	71	40	110
224	30.3	104.9	10	1612.5	0.97268	4	1	71	40	110
225	31.6	75.4	10	2223.6	0.93005	4	1	71	40	110
226	35.7	105.1	9	7239.2	0.95012	4	1	71	40	110
227	33.8	83.6	15	1701.3	0.95282	4	1	71	40	110
228	23	95.5	9	1170.1	0.87769	4	1	71	40	110
229	26.1	73.7	17	2874.6	0.92023	4	1	71	40	110
230	25.9	71.4	2	374.46	0.85613	4	1	71	40	110
231	12.3	86.6	12	828.21	0.91531	4	1	71	40	110
232	4.3	106.7	16	1933	0.87787	4	1	71	40	110
